PotID,Pot.ID.QR.Code,stripNo,BinNo,plotType,divLevel,trt,lines1,lines2,lines3,lines4,lines5,lines6,lines7,lines8,lines9,lines10,lines11,lines12,lines13,lines14,lines15,lines16,lines17,lines18,lines19,lines20,PlantNum_Initial,CanopyArea,SLA_Area,SLA_Wt,SLA,FH_Wt,FT.5.29.30.18,FT.6.4.18,FT.6.8.18,FT.6.12.18,FT.6.15.18,FT.6.19.18,FT.6.21.18,FT.6.26.18,FT.6.29.18,FT.7.6.18,FT.7.10.18,Damaged_pot,FT1001_mean,FT1001_q90,FT1001_q10,PC5dist_mean,Ngenotypes,meanKin,meanGenD,treeDiv,ecotypeid,potF2,MaxPlantNum,typePlot
324,324-C-mono-1-S,C,4,mono,1,S,CS76409,,,,,,,,,,,,,,,,,,,,17,3.54,0.31,1.683,0.184,0.1621,0,0,0,0,0,,0,0,0,0,0,,88.16666668,88.16666668,88.16666668,6.435859961,1,7.322603124,0,0,9942,NA,17,NA
325,325-C-mono-1-C,C,4,mono,1,C,CS76979,,,,,,,,,,,,,,,,,,,,20,24.67,0.44,2.573,0.171,0.26,0,0,0,0,0,,0,0,0,1,1,,89.375,89.375,89.375,4.010340511,1,7.322603124,0,0,9627,NA,20,NA
326,326-C-mono-1-C,C,4,mono,1,C,CS76790,,,,,,,,,,,,,,,,,,,,20,12.1,0.14,0.793,0.177,0.2365,0,0,50,75,75,75,75,100,100,100,100,,55.875,55.875,55.875,5.881856565,1,7.322603124,0,0,88,81.816,21,NA
327,327-C-mono-1-S,C,4,mono,1,S,CS76695,,,,,,,,,,,,,,,,,,,,14,7.15,0.36,1.323,0.272,0.0232,0,0,0,0,0,1,1,0,1,1,1,,59.66666667,59.66666667,59.66666667,10.31779842,1,7.322603124,0,0,9522,61.8,14,NA
328,328-C-mono-1-C,C,4,mono,1,C,CS77229,,,,,,,,,,,,,,,,,,,,19,11.7,0.16,0.836,0.191,0.3032,0,0,0,0,0,,0,50,75,75,75,,67.25,67.25,67.25,6.373313532,1,7.322603124,0,0,9578,64.14375,19,NA
329,329-C-mono-1-C,C,4,mono,1,C,CS76886,,,,,,,,,,,,,,,,,,,,20,29.81,0.48,2.679,0.179,0.4544,0,0,0,0,0,,0,0,0,0,0,,92,92,92,8.630416859,1,7.322603124,0,0,9543,NA,20,NA
330,330-C-div-10-C,C,4,div,10,C,CS76790,CS77020,CS76649,CS77006,CS76390,CS76999,CS76689,CS76978,CS77023,CS76360,,,,,,,,,,,20,35.34,NA,NA,NA,1.0104,0,0,1,25,25,25,25,75,75,75,75,,69.46666667,83.6,52.675,7.216591963,10,6.408528753,0.889502508,18.75714955,NA,433.9725,20,NA
331,331-C-mono-1-S,C,4,mono,1,S,CS78778,,,,,,,,,,,,,,,,,,,,20,5.65,NA,NA,NA,NA,0,25,50,75,75,75,75,75,75,75,75,damaged,59,59,59,8.532668608,1,7.322603124,0,0,5811,NA,20,NA
332,332-C-mono-1-S,C,4,mono,1,S,CS77387,,,,,,,,,,,,,,,,,,,,18,NA,NA,NA,NA,0.0316,0,100,100,100,100,100,100,0,0,0,0,,50.875,50.875,50.875,7.91471514,1,7.322603124,0,0,9590,19.87722222,18,NA
333,333-C-mono-1-S,C,4,mono,1,S,CS76632,,,,,,,,,,,,,,,,,,,,20,16.92,0.14,1.176,0.119,0.3419,0,0,25,75,75,75,75,100,100,100,100,,61.25,61.25,61.25,4.712952619,1,7.322603124,0,0,6982,127.465625,20,NA
334,334-C-pred-2-S,C,4,pred,2,S,CS76886,CS77028,,,,,,,,,,,,,,,,,,,20,11.95,NA,NA,NA,0.1171,0,1,1,1,1,1,1,1,1,1,1,,100.5,107.3,93.7,7.863430214,2,6.675411968,0.731294747,9.014418195,NA,65.36,20,LF
335,335-C-mono-1-S,C,4,mono,1,S,CS76786,,,,,,,,,,,,,,,,,,,,19,NA,0.05,0.248,0.202,0.0826,0,50,50,50,50,75,75,100,100,100,100,,50.5,50.5,50.5,11.03623322,1,7.322603124,0,0,7067,61.0375,19,NA
336,336-C-mono-1-C,C,4,mono,1,C,CS76692,,,,,,,,,,,,,,,,,,,,20,15.59,0.25,1.144,0.219,0.6469,0,0,0,0,0,,0,0,0,0,0,,82.04166667,82.04166667,82.04166667,10.87719806,1,7.322603124,0,0,9620,NA,20,NA
337,337-C-mono-1-C,C,5,mono,1,C,CS77057,,,,,,,,,,,,,,,,,,,,18,28.63,0.23,0.868,0.265,0.1936,0,0,25,50,75,75,75,100,100,100,100,,53.875,53.875,53.875,5.319225288,1,7.322603124,0,0,9782,79.69545455,18,NA
338,338-C-mono-1-S,C,5,mono,1,S,CS77033,,,,,,,,,,,,,,,,,,,,19,5.89,0.28,1.363,0.205,0.3389,0,0,0,0,0,,0,0,0,0,0,,79,79,79,5.129418302,1,7.322603124,0,0,9612,NA,19,NA
339,339-C-mono-1-C,C,5,mono,1,C,CS76649,,,,,,,,,,,,,,,,,,,,20,10.36,0.33,1.524,0.217,0.2721,0,0,0,1,1,25,25,100,100,100,100,,52,52,52,13.92728137,1,7.322603124,0,0,9606,54.55117647,20,NA
340,340-C-mono-1-S,C,5,mono,1,S,CS77287,,,,,,,,,,,,,,,,,,,,7,1.29,NA,1.212,NA,0.0339,0,1,1,1,1,75,75,100,100,100,100,,42.125,42.125,42.125,8.792225748,1,7.322603124,0,0,9585,41.958,7,NA
341,341-C-mono-1-C,C,5,mono,1,C,CS76692,,,,,,,,,,,,,,,,,,,,19,15.55,0.25,1.286,0.194,0.0382,0,0,0,0,0,,0,0,0,0,0,,82.04166667,82.04166667,82.04166667,10.87719806,1,7.322603124,0,0,9620,NA,19,NA
342,342-C-mono-1-S,C,5,mono,1,S,CS77179,,,,,,,,,,,,,,,,,,,,20,2.77,0.03,0.096,0.313,0.0863,0,0,0,0,0,1,1,75,75,75,75,,50.875,50.875,50.875,4.311823412,1,7.322603124,0,0,9883,46.10818182,20,NA
343,343-C-mono-1-S,C,5,mono,1,S,CS76441,,,,,,,,,,,,,,,,,,,,20,1.24,0.06,0.231,0.26,0.0968,0,0,0,0,0,,0,0,0,0,0,,77.75,77.75,77.75,11.46153396,1,7.322603124,0,0,7014,NA,20,NA
344,344-C-pred-2-C,C,5,pred,2,C,CS76769,CS77197,,,,,,,,,,,,,,,,,,,19,11.85,NA,NA,NA,0.2211,0,0,0,0,0,,0,0,0,0,0,,80.3125,89.22916667,71.39583333,4.519301139,2,6.774495553,0.559970631,3.945683148,NA,NA,19,SimClimFdiv
345,345-C-mono-1-C,C,5,mono,1,C,CS76774,,,,,,,,,,,,,,,,,,,,20,6.09,0.1,0.54,0.185,0.1001,0,0,0,0,0,,0,0,0,0,0,,67.70833334,67.70833334,67.70833334,5.517336841,1,7.322603124,0,0,9534,NA,20,NA
346,346-C-mono-1-C,C,5,mono,1,C,CS76537,,,,,,,,,,,,,,,,,,,,19,7.42,0.14,0.397,0.353,0.076,0,0,0,0,0,1,1,75,75,75,75,,54.125,54.125,54.125,10.54011462,1,7.322603124,0,0,6931,15.70333333,19,NA
347,347-C-mono-1-C,C,5,mono,1,C,CS76390,,,,,,,,,,,,,,,,,,,,20,NA,0.13,0.479,0.271,0.7388,0,0,0,0,0,,0,0,0,0,0,,79.375,79.375,79.375,6.971810948,1,7.322603124,0,0,9990,NA,20,NA
348,348-C-mono-1-C,C,5,mono,1,C,CS77028,,,,,,,,,,,,,,,,,,,,20,10.72,0.23,1.164,0.198,0.6232,0,0,0,0,0,,0,0,0,0,0,,109,109,109,7.096443569,1,7.322603124,0,0,9084,NA,20,NA
